Attitude,Play Record,Publish Date,Free_get,Refunded,Content,Helpful,Funny,Award Count,Poster Link,Nickname,Product Count,Reply Count,Language
1,5.5 hrs on record,October 3,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t好玩，就是流程太短了，玩到后面一边收拾衣柜一边感慨，主角穿衣风格越来越大胆时尚了\t\t\t'],2,1,0,https://steamcommunity.com/profiles/76561198932052072/,墨鱼茶丸子,,0,SIMPLIFIED CHINESE
1,5.2 hrs on record,October 7,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t虽然P人玩这个真的会血压上升', '但是通关的一瞬间还是忍不住湿了眼眶。感觉见证了一个小女孩的大半生', '能够获得幸福真的太好了。\t\t\t']",1,0,0,https://steamcommunity.com/profiles/76561198978009498/,楠楠（幸运版）,29,0,SIMPLIFIED CHINESE
1,13.2 hrs on record,September 24,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t求你出个dlc或者续作吧啊啊啊啊 太好玩了太解压了好喜欢！ plz make some dlc!\t\t\t'],1,0,0,https://steamcommunity.com/profiles/76561198208144703/,超级甜品人,,0,SIMPLIFIED CHINESE
1,3.2 hrs on record,September 21,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tps:设置——无障碍功能里面可以更改游戏模式，直接可以想放哪放哪\t\t\t'],1,0,0,https://steamcommunity.com/profiles/76561198947025608/,Zukars,45,0,SIMPLIFIED CHINESE
1,1.0 hrs on record,September 12,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t很适合假期回到老家时，夜里等父母都睡了，自己一个人静静地玩。', '纸箱里似乎藏着我曾经找不着的东西。\t\t\t']",1,0,0,https://steamcommunity.com/id/patrick-pang/,Patrick,172,0,SIMPLIFIED CHINESE
0,1.5 hrs on record,September 13,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t什么狗屎剧情，玩着玩着突然发现主角是犹太人而且还是女同，恶', 'bgm不好听，不休闲，还有些奇怪的要求，比如喷雾必须放到马桶水箱上，日记必须放枕头底下(但是长大以后枕头底下又不能放书了)，神经病吧\t\t\t']",1,0,0,https://steamcommunity.com/profiles/76561198848823870/,Brony_AppleJack,281,0,SIMPLIFIED CHINESE
1,6.3 hrs on record,October 10,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t6.5/10', '买了之后发现不是特别喜欢玩这类游戏……\t\t\t']",0,0,0,https://steamcommunity.com/profiles/76561198803301488/,Autumn,,0,SIMPLIFIED CHINESE
1,7.0 hrs on record,September 13,0,0,"['游戏玩法，那就是开箱拿出东西，然后再将它们放置到应该在的位置上。从女主童年到大学毕业再到工作，一共开箱了很多次，我恰巧对开箱摆东西少了很多耐心，几乎都是图早点摆好完事，然后就错过很多很多的彩蛋和细节！', '其实这算不上一个很精彩华丽的故事，就是一个普通的女性成长故事碎片集，但它已经足够打动我了。\t\t\t']",16,0,0,https://steamcommunity.com/profiles/76561199190370227/,鹈鹕镇网红小狗,119,0,SIMPLIFIED CHINESE
1,6.5 hrs on record,September 14,0,0,"['游戏中你以一个整理者的视角切入了主角小半部分人生，通过场景、物品等的变化可以推测出主角大致的兴趣爱好、人生轨迹。游戏具有精美的像素画风、清新明快的音乐，某些细节部分也十分有趣。', '整体玩法风格非常独特，但流程比较短，打折可以尝试一下。\t\t\t']",3,0,0,https://steamcommunity.com/id/fraink/,火猫还是赢不了,452,0,SIMPLIFIED CHINESE
0,3.4 hrs on record,September 12,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t差评省流：像素艺术顶级牛逼，叙事手法很有创意，但明明是禅意类型卖点是整理布置的一个游戏开发者居然教我怎么玩游戏', '以下全都是我个人观点，你觉得好玩完全ok的，我尊重每个人的观点', '  我真的是一个玩游戏从来不发脾气的人，我直到昨天我都觉得，游戏嘛，就是得让自己开心的，不要生气给自己找不自在。', '  这个游戏做到了，这个游戏真的做到了，我布置到最后一关的时候直接忍无可忍破防大骂：他X的这个是什么东西我凭什么不可以放在这里？开发者为什么要教我玩游戏？？？', '  我在现实里算是一个真的很喜欢整理的人，我为了整理多余的东西会再去买一块洞洞板挂墙上甚至买一个柜子，所有东西不在自己该在的位置会被我整理回该在的位置。所以我当时这个游戏刚出的时候就很期待，但是一直忘记买，前段时间看到打对折满心欢喜的入了，大概对折35元吧，本来要80元...刚玩的时候翻评论有人说时长有点太短了不值这个价格我还有点担心，现在我通关了倒反而松了一口气：我谢谢开发者三个小时就肯放我走，这段近四小时的痛苦的旅程真是对我人生的一次磨砺，随着时间的推移一次又一次地冲击我的大脑摧毁我的精神，他是伪装成红烧肉的姜，是一盘三文鱼刺身里的一根鱼骨，是一坨无敌的镶金的史！我这辈子不愿再有一段和玩伟大的unpacking一样的游戏经历，我这种三流俗人欣赏不来这等绝世大作', '  一个宣传点是收纳整理的游戏却会限制你东西该放在哪，包括但不限于放不下，不准放，你不知道这个画的很好看的像素图是什么，该放哪，只能一直试一直试还会一直有一个红框来提醒我你这个傻子这玩意不能放这里你必须放在这个地方！！可能是我和制作组的文化有差异所以我看不懂这是什么该放哪，但是你到底，你凭什么，你哪来的权利，教我这个东西我只能放这————我请问这不是我的相册吗？你们制作组自己开头写的，这本相册是属于我的，这是属于谁的故事，你凭什么要干涉我凭什么指指点点我要把这些东西收纳在哪里？这到底是谁的故事？你到底想做什么游戏你想表达什么？你凭什么这么高傲？？我付了钱来玩的欸？？', '二编：我写完去看了一下游戏简介，确实不是玩家的故事，那麻烦别让玩家在开头相册取名造成误解，而且凭什么要因为你这点所谓比较巧妙新颖的叙事手法限制物品摆放，', '设计者觉得很精妙的叙事手法根本不是教玩家玩游戏的原因。玩家根本没必要非要顺着设计者的思路玩的', '  So有看到这条差评的，真的很想玩的话打折再买，没打到50%以下不要买，喜欢的会觉得四小时时长太短不够玩，讨厌的话会觉得制作组教你做事毕竟你本来是抱着收纳整理布置来的。哦对了，还有对欧美那边 引号 潮流新文化 引号 不能接受的也千万不要买，我一直是属于这些内容不骑玩家脸就忍忍算了的人。我翻评论看到一个老哥退款了说虽然分类卫生棉和胸罩挺好的但是他是个男的实在是没有沉浸感，我看完觉得真的是又搞笑又可怜的，我是女的还好点，男的玩这游戏不配有沉浸感了吗，就非要当那个主角吗万一玩家不想呢他们就活该被你的宣传片骗进来杀吗…不过反正不是我的故事了，还是祝游戏主角生活幸福吧……', '  就当自己是买门票欣赏了一下美丽像素画好了，这辈子不会再打开这个游戏，再也不见\t\t\t']",2,0,1,https://steamcommunity.com/id/maoskun/,maoskun,62,0,SIMPLIFIED CHINESE
1,5.0 hrs on record,October 7,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t强迫症患者福音\t\t\t'],1,0,0,https://steamcommunity.com/profiles/76561198071796150/,Spider from Mars,,0,SIMPLIFIED CHINESE
1,7.0 hrs on record,October 4,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t历时7小时全成就通关，游戏比较简单，但是体验到了成长的喜悦和烦恼（和第一任男朋友同居的时候，衣服还是一堆童趣类型的、牙杯也是破的，和男朋友的公寓格格不入，而引以为傲的证书也只能放在床底，当时就在想，两个世界的人如何能长久？下一关就分手了……），喜欢休闲、收纳摆放类的小伙伴强烈推荐打折时候入手！\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561199749083972/,瓜小猹,46,0,SIMPLIFIED CHINESE
1,5.7 hrs on record,September 28,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t好玩爱玩\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561198817431190/,一追就倒0.o,82,0,SIMPLIFIED CHINESE
1,4.2 hrs on record,September 26,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t谁偷走了我的生活（尖叫）\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561198891481281/,Dionysian,275,0,SIMPLIFIED CHINESE
1,5.0 hrs on record,September 24,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t首先从游戏上一款高配扫雷/抓大鹅/消消乐……非常适合消磨时间', '其次在故事情节上还是非常有趣的，推测一些内容很好玩\t\t\t']",0,0,0,https://steamcommunity.com/profiles/76561199370449690/,河神醉醉,,0,SIMPLIFIED CHINESE
1,4.5 hrs on record,September 24,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t好玩\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561199766162721/,小甜澄,,0,SIMPLIFIED CHINESE
1,3.3 hrs on record,September 23,0,0,"[""\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tso what's saying, les is better than with a man?"", 'no wonder why im pickin more and more bras by the game proceed XD']",0,0,0,https://steamcommunity.com/id/frig_coronast/,我叫金正恩，教得人民会感恩,141,0,SIMPLIFIED CHINESE
1,6.2 hrs on record,September 23,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t物品和环境的设计刻画都非常好，能够从其变化中感受到他人生活和心境的点滴变化。尤其是其中一关，逼仄的环境与杂乱的物品逼得我不得不绞尽脑汁想办法整理自己的东西。。也侧面反映对方并不成熟或其实并不是特别在意她，到后面哪怕东西多了整理出来也很舒适，对比很明显。', '顺带一提，我真的好想要母鸡小鸡的全套玩具。']",0,0,0,https://steamcommunity.com/id/byn9/,混沌善普通冰,172,0,SIMPLIFIED CHINESE
1,4.4 hrs on record,September 22,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t很温馨的小游戏，可惜有几样东西看不出来是什么XD\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561199181147792/,菜包鼠,32,0,SIMPLIFIED CHINESE
1,9.7 hrs on record,October 5,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t作为一个喜欢收纳整理，非常在意秩序感，对于长久留在身边的细碎物件会建立情感联结的人，非常非常喜欢这款游戏。不直接讲述故事，也没有主人公出现，而是借由一个个物件，和一次次搬家、整理行李来叙事。其实也没有什么宏伟或奇特的故事，只是几乎每个人从孩提到多年后的社畜，在二三十年间都会经历的重要又微不足道的变化：搬离父母家，上大学，自己租房，和爱人同居，分手后回归独居，成立家庭...', ' 真好o(^▽^)o！', '每一次搬家都是一次对新生活的思考和展望，游戏机放哪里好呢？玩偶是放在床边还是沙发上？笔记本要藏在枕头下吗？前任的照片还是放柜子里吧。小鸡玩偶一只只变多🐥，新家里到处摆满了绿植。一次次离开、重新与新的空间建立联系与记忆的过程中，有的物件留下了，有的留在了旧的时间里。', '（如果有什么不足的话，要是使用拍照功能时，zoom in/zoom out的可选颗粒度可以再细一点就好了！滤镜可以叠加就更好了！贴纸旋转方向除了上下左右还可以有斜角就好了！）\t\t\t']",0,1,0,https://steamcommunity.com/profiles/76561199338972051/,星星是个大菜菜,,0,SIMPLIFIED CHINESE
1,5.5 hrs on record,October 3,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t好玩，就是流程太短了，玩到后面一边收拾衣柜一边感慨，主角穿衣风格越来越大胆时尚了\t\t\t'],2,1,0,https://steamcommunity.com/profiles/76561198932052072/,墨鱼茶丸子,,0,SIMPLIFIED CHINESE
1,5.2 hrs on record,October 7,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t虽然P人玩这个真的会血压上升', '但是通关的一瞬间还是忍不住湿了眼眶。感觉见证了一个小女孩的大半生', '能够获得幸福真的太好了。\t\t\t']",1,0,0,https://steamcommunity.com/profiles/76561198978009498/,楠楠（幸运版）,29,0,SIMPLIFIED CHINESE
1,13.2 hrs on record,September 24,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t求你出个dlc或者续作吧啊啊啊啊 太好玩了太解压了好喜欢！ plz make some dlc!\t\t\t'],1,0,0,https://steamcommunity.com/profiles/76561198208144703/,超级甜品人,,0,SIMPLIFIED CHINESE
1,3.2 hrs on record,September 21,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tps:设置——无障碍功能里面可以更改游戏模式，直接可以想放哪放哪\t\t\t'],1,0,0,https://steamcommunity.com/profiles/76561198947025608/,Zukars,45,0,SIMPLIFIED CHINESE
1,1.0 hrs on record,September 12,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t很适合假期回到老家时，夜里等父母都睡了，自己一个人静静地玩。', '纸箱里似乎藏着我曾经找不着的东西。\t\t\t']",1,0,0,https://steamcommunity.com/id/patrick-pang/,Patrick,172,0,SIMPLIFIED CHINESE
0,1.5 hrs on record,September 13,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t什么狗屎剧情，玩着玩着突然发现主角是犹太人而且还是女同，恶', 'bgm不好听，不休闲，还有些奇怪的要求，比如喷雾必须放到马桶水箱上，日记必须放枕头底下(但是长大以后枕头底下又不能放书了)，神经病吧\t\t\t']",1,0,0,https://steamcommunity.com/profiles/76561198848823870/,Brony_AppleJack,281,0,SIMPLIFIED CHINESE
1,6.3 hrs on record,October 10,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t6.5/10', '买了之后发现不是特别喜欢玩这类游戏……\t\t\t']",0,0,0,https://steamcommunity.com/profiles/76561198803301488/,Autumn,,0,SIMPLIFIED CHINESE
1,7.0 hrs on record,September 13,0,0,"['游戏玩法，那就是开箱拿出东西，然后再将它们放置到应该在的位置上。从女主童年到大学毕业再到工作，一共开箱了很多次，我恰巧对开箱摆东西少了很多耐心，几乎都是图早点摆好完事，然后就错过很多很多的彩蛋和细节！', '其实这算不上一个很精彩华丽的故事，就是一个普通的女性成长故事碎片集，但它已经足够打动我了。\t\t\t']",16,0,0,https://steamcommunity.com/profiles/76561199190370227/,鹈鹕镇网红小狗,119,0,SIMPLIFIED CHINESE
1,6.5 hrs on record,September 14,0,0,"['游戏中你以一个整理者的视角切入了主角小半部分人生，通过场景、物品等的变化可以推测出主角大致的兴趣爱好、人生轨迹。游戏具有精美的像素画风、清新明快的音乐，某些细节部分也十分有趣。', '整体玩法风格非常独特，但流程比较短，打折可以尝试一下。\t\t\t']",3,0,0,https://steamcommunity.com/id/fraink/,火猫还是赢不了,452,0,SIMPLIFIED CHINESE
0,3.4 hrs on record,September 12,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t差评省流：像素艺术顶级牛逼，叙事手法很有创意，但明明是禅意类型卖点是整理布置的一个游戏开发者居然教我怎么玩游戏', '以下全都是我个人观点，你觉得好玩完全ok的，我尊重每个人的观点', '  我真的是一个玩游戏从来不发脾气的人，我直到昨天我都觉得，游戏嘛，就是得让自己开心的，不要生气给自己找不自在。', '  这个游戏做到了，这个游戏真的做到了，我布置到最后一关的时候直接忍无可忍破防大骂：他X的这个是什么东西我凭什么不可以放在这里？开发者为什么要教我玩游戏？？？', '  我在现实里算是一个真的很喜欢整理的人，我为了整理多余的东西会再去买一块洞洞板挂墙上甚至买一个柜子，所有东西不在自己该在的位置会被我整理回该在的位置。所以我当时这个游戏刚出的时候就很期待，但是一直忘记买，前段时间看到打对折满心欢喜的入了，大概对折35元吧，本来要80元...刚玩的时候翻评论有人说时长有点太短了不值这个价格我还有点担心，现在我通关了倒反而松了一口气：我谢谢开发者三个小时就肯放我走，这段近四小时的痛苦的旅程真是对我人生的一次磨砺，随着时间的推移一次又一次地冲击我的大脑摧毁我的精神，他是伪装成红烧肉的姜，是一盘三文鱼刺身里的一根鱼骨，是一坨无敌的镶金的史！我这辈子不愿再有一段和玩伟大的unpacking一样的游戏经历，我这种三流俗人欣赏不来这等绝世大作', '  一个宣传点是收纳整理的游戏却会限制你东西该放在哪，包括但不限于放不下，不准放，你不知道这个画的很好看的像素图是什么，该放哪，只能一直试一直试还会一直有一个红框来提醒我你这个傻子这玩意不能放这里你必须放在这个地方！！可能是我和制作组的文化有差异所以我看不懂这是什么该放哪，但是你到底，你凭什么，你哪来的权利，教我这个东西我只能放这————我请问这不是我的相册吗？你们制作组自己开头写的，这本相册是属于我的，这是属于谁的故事，你凭什么要干涉我凭什么指指点点我要把这些东西收纳在哪里？这到底是谁的故事？你到底想做什么游戏你想表达什么？你凭什么这么高傲？？我付了钱来玩的欸？？', '二编：我写完去看了一下游戏简介，确实不是玩家的故事，那麻烦别让玩家在开头相册取名造成误解，而且凭什么要因为你这点所谓比较巧妙新颖的叙事手法限制物品摆放，', '设计者觉得很精妙的叙事手法根本不是教玩家玩游戏的原因。玩家根本没必要非要顺着设计者的思路玩的', '  So有看到这条差评的，真的很想玩的话打折再买，没打到50%以下不要买，喜欢的会觉得四小时时长太短不够玩，讨厌的话会觉得制作组教你做事毕竟你本来是抱着收纳整理布置来的。哦对了，还有对欧美那边 引号 潮流新文化 引号 不能接受的也千万不要买，我一直是属于这些内容不骑玩家脸就忍忍算了的人。我翻评论看到一个老哥退款了说虽然分类卫生棉和胸罩挺好的但是他是个男的实在是没有沉浸感，我看完觉得真的是又搞笑又可怜的，我是女的还好点，男的玩这游戏不配有沉浸感了吗，就非要当那个主角吗万一玩家不想呢他们就活该被你的宣传片骗进来杀吗…不过反正不是我的故事了，还是祝游戏主角生活幸福吧……', '  就当自己是买门票欣赏了一下美丽像素画好了，这辈子不会再打开这个游戏，再也不见\t\t\t']",2,0,1,https://steamcommunity.com/id/maoskun/,maoskun,62,0,SIMPLIFIED CHINESE
1,5.0 hrs on record,October 7,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t强迫症患者福音\t\t\t'],1,0,0,https://steamcommunity.com/profiles/76561198071796150/,Spider from Mars,,0,SIMPLIFIED CHINESE
1,7.0 hrs on record,October 4,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t历时7小时全成就通关，游戏比较简单，但是体验到了成长的喜悦和烦恼（和第一任男朋友同居的时候，衣服还是一堆童趣类型的、牙杯也是破的，和男朋友的公寓格格不入，而引以为傲的证书也只能放在床底，当时就在想，两个世界的人如何能长久？下一关就分手了……），喜欢休闲、收纳摆放类的小伙伴强烈推荐打折时候入手！\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561199749083972/,瓜小猹,46,0,SIMPLIFIED CHINESE
1,5.7 hrs on record,September 28,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t好玩爱玩\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561198817431190/,一追就倒0.o,82,0,SIMPLIFIED CHINESE
1,4.2 hrs on record,September 26,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t谁偷走了我的生活（尖叫）\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561198891481281/,Dionysian,275,0,SIMPLIFIED CHINESE
1,5.0 hrs on record,September 24,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t首先从游戏上一款高配扫雷/抓大鹅/消消乐……非常适合消磨时间', '其次在故事情节上还是非常有趣的，推测一些内容很好玩\t\t\t']",0,0,0,https://steamcommunity.com/profiles/76561199370449690/,河神醉醉,,0,SIMPLIFIED CHINESE
1,4.5 hrs on record,September 24,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t好玩\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561199766162721/,小甜澄,,0,SIMPLIFIED CHINESE
1,3.3 hrs on record,September 23,0,0,"[""\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tso what's saying, les is better than with a man?"", 'no wonder why im pickin more and more bras by the game proceed XD']",0,0,0,https://steamcommunity.com/id/frig_coronast/,我叫金正恩，教得人民会感恩,141,0,SIMPLIFIED CHINESE
1,6.2 hrs on record,September 23,0,0,"['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t物品和环境的设计刻画都非常好，能够从其变化中感受到他人生活和心境的点滴变化。尤其是其中一关，逼仄的环境与杂乱的物品逼得我不得不绞尽脑汁想办法整理自己的东西。。也侧面反映对方并不成熟或其实并不是特别在意她，到后面哪怕东西多了整理出来也很舒适，对比很明显。', '顺带一提，我真的好想要母鸡小鸡的全套玩具。']",0,0,0,https://steamcommunity.com/id/byn9/,混沌善普通冰,172,0,SIMPLIFIED CHINESE
1,4.4 hrs on record,September 22,0,0,['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t很温馨的小游戏，可惜有几样东西看不出来是什么XD\t\t\t'],0,0,0,https://steamcommunity.com/profiles/76561199181147792/,菜包鼠,32,0,SIMPLIFIED CHINESE
